date,rate
2012-01-28,0.204620
2012-01-31,0.204277
2012-02-01,0.204039
2012-02-02,0.204559
2012-02-03,0.203023
2012-02-04,0.203352
2012-02-07,0.203380
2012-02-08,0.202368
2012-02-09,0.199838
2012-02-10,0.199970
2012-02-11,0.201498
2012-02-14,0.201451
2012-02-15,0.202796
2012-02-16,0.202031
2012-02-17,0.203962
2012-02-18,0.202533
2012-02-21,0.201131
2012-02-22,0.201234
2012-02-23,0.201266
2012-02-25,0.199566
2012-02-28,0.197300
2012-02-29,0.196054
2012-03-01,0.196475
2012-03-02,0.198045
2012-03-03,0.198060
2012-03-06,0.198054
2012-03-07,0.199039
2012-03-08,0.200467
2012-03-12,0.199578
2012-03-13,0.200565
2012-03-14,0.199446
2012-03-15,0.199739
2012-03-16,0.200537
2012-03-17,0.198773
2012-03-20,0.197810
2012-03-21,0.197429
2012-03-22,0.197651
2012-03-23,0.197900
2012-03-24,0.198977
2012-03-27,0.197889
2012-03-28,0.196083
2012-03-29,0.196936
2012-03-30,0.198242
2012-03-31,0.198371
2012-04-03,0.198210
2012-04-04,0.197715
2012-04-05,0.198653
2012-04-06,0.198531
2012-04-07,0.199442
2012-04-10,0.200601
2012-04-11,0.200765
2012-04-12,0.201687
2012-04-13,0.200169
2012-04-14,0.199621
2012-04-17,0.201731
2012-04-18,0.200791
2012-04-19,0.199694
2012-04-20,0.199724
2012-04-21,0.199563
2012-04-24,0.199506
2012-04-25,0.199491
2012-04-26,0.198229
2012-04-27,0.197891
2012-04-28,0.199008
2012-04-29,0.198712
2012-05-03,0.198344
2012-05-04,0.199189
2012-05-05,0.200045
2012-05-06,0.201579
2012-05-11,0.204194
2012-05-12,0.204378
2012-05-13,0.203983
2012-05-15,0.204508
2012-05-16,0.204953
2012-05-17,0.209176
2012-05-18,0.209002
2012-05-19,0.212159
2012-05-22,0.210436
2012-05-23,0.209873
2012-05-24,0.212345
2012-05-25,0.214078
2012-05-26,0.214772
2012-05-29,0.214924
2012-05-30,0.216819
2012-05-31,0.219300
2012-06-01,0.222347
2012-06-02,0.227870
2012-06-05,0.228822
2012-06-06,0.223059
2012-06-07,0.220230
2012-06-08,0.216615
2012-06-09,0.220147
2012-06-10,0.219096
2012-06-14,0.219803
2012-06-15,0.218628
2012-06-16,0.217362
2012-06-19,0.215843
2012-06-20,0.218442
2012-06-21,0.218592
2012-06-22,0.220745
2012-06-23,0.224629
2012-06-26,0.222240
2012-06-27,0.222154
2012-06-28,0.220023
2012-06-29,0.220734
2012-06-30,0.219621
2012-07-03,0.217897
2012-07-04,0.217221
2012-07-05,0.215435
2012-07-06,0.217100
2012-07-07,0.218009
2012-07-10,0.220210
2012-07-11,0.220005
2012-07-12,0.218986
2012-07-13,0.218256
2012-07-14,0.218003
2012-07-17,0.217574
2012-07-18,0.216817
2012-07-19,0.216489
2012-07-20,0.214443
2012-07-21,0.213668
2012-07-24,0.216200
2012-07-25,0.217636
2012-07-26,0.219698
2012-07-27,0.217461
2012-07-28,0.214883
2012-07-31,0.214552
2012-08-01,0.214670
2012-08-02,0.215412
2012-08-03,0.216130
2012-08-04,0.216554
2012-08-07,0.212783
2012-08-08,0.211019
2012-08-09,0.211081
2012-08-10,0.209948
2012-08-11,0.213083
2012-08-14,0.212961
2012-08-15,0.212684
2012-08-16,0.213479
2012-08-17,0.213764
2012-08-18,0.213358
2012-08-21,0.214308
2012-08-22,0.213998
2012-08-23,0.213324
2012-08-24,0.212702
2012-08-25,0.213669
2012-08-28,0.214045
2012-08-29,0.214989
2012-08-30,0.214821
2012-08-31,0.215937
2012-09-01,0.217620
2012-09-04,0.216692
2012-09-05,0.215345
2012-09-06,0.217333
2012-09-07,0.215477
2012-09-08,0.214149
2012-09-11,0.212117
2012-09-12,0.212242
2012-09-13,0.210021
